,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Females ;,Employed total ;  > Females ;,Employed total ;  > Females ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed part-time ;  Persons ;,> Employed part-time ;  Persons ;,> Employed part-time ;  Persons ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Females ;,> Employed part-time ;  > Females ;,> Employed part-time ;  > Females ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Females ;,> Unemployed looked for only part-time work ;  > Females ;,> Unemployed looked for only part-time work ;  > Females ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  > Females ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Not in the labour force (NILF) ;  Persons ;,Not in the labour force (NILF) ;  > Males ;,Not in the labour force (NILF) ;  > Females ;,Civilian population aged 15 years and over ;  Persons ;,Civilian population aged 15 years and over ;  > Males ;,Civilian population aged 15 years and over ;  > Females ;
Unit,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,000,000,000,000,000,000,000,000,000,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,000,000,000,000,000,000
Series Type,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Original,Original,Original,Original,Original,Original
Data Type,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK
Frequency,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month
Collection Month,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Series Start,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01,1978-02-01
Series End,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01,2026-06-01
No. Obs,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581,581
Series ID,A84423127L,A84423043C,A84423085A,A84423113X,A84423029J,A84423071L,A84423141J,A84423057T,A84423099R,A84423125J,A84423041X,A84423083W,A84423111V,A84423027C,A84423069A,A84423139W,A84423055L,A84423097K,A84423126K,A84423042A,A84423084X,A84423112W,A84423028F,A84423070K,A84423140F,A84423056R,A84423098L,A84423138V,A84423054K,A84423096J,A84423124F,A84423040W,A84423082V,A84423152R,A84423068X,A84423110T,A84423130A,A84423046K,A84423088J,A84423116F,A84423032W,A84423074V,A84423144R,A84423060F,A84423102T,A84423128R,A84423044F,A84423086C,A84423114A,A84423030T,A84423072R,A84423142K,A84423058V,A84423100L,A84423129T,A84423045J,A84423087F,A84423115C,A84423031V,A84423073T,A84423143L,A84423059W,A84423101R,A84423134K,A84423050A,A84423092X,A84423120W,A84423036F,A84423078C,A84423148X,A84423064R,A84423106A,A84423136R,A84423052F,A84423094C,A84423122A,A84423038K,A84423080R,A84423150K,A84423066V,A84423108F,A84423137T,A84423053J,A84423095F,A84423123C,A84423039L,A84423081T,A84423151L,A84423067W,A84423109J,A84423131C,A84423047L,A84423089K,A84423117J,A84423033X,A84423075W,A84423145T,A84423061J,A84423103V,A84423135L,A84423051C,A84423093A,A84423121X,A84423037J,A84423079F,A84423149A,A84423065T,A84423107C,A84423090V,A84423076X,A84423104W,A84423091W,A84423077A,A84423105X
1978-02-01,6007.9427128,5997.4214758,5985.6597158,3889.2718989,3881.0102891,3887.3879822,2118.6708139,2116.4111867,2098.2717336,5103.1276896,5079.3132334,5099.920902,3698.6292822,3679.8098856,3698.6077314,1404.4984073,1399.5033478,1401.3131706,904.8150233,918.1082424,885.7388138,190.6426167,201.2004035,188.7802508,714.1724066,716.9078389,696.958563,57.2654972,57.1764021,57.0642714,75.1503547,75.0156335,75.1389073,39.8506481,39.8141362,39.472895,404.2153625,426.8765502,482.8168132,220.1535893,231.3623883,256.4224198,184.0617732,195.5141619,226.3943934,336.2782786,354.7594456,401.0256138,203.0717303,211.9923315,237.0554411,133.2065483,142.767114,163.9701727,67.9370839,72.1171046,81.7911994,17.081859,19.3700567,19.3669787,50.8552249,52.7470479,62.4242207,6.3038895,6.644719,7.4641503,5.3572839,5.6260073,6.1880828,7.9931892,8.4567679,9.7387918,6.1822611,6.5284266,7.2901202,5.2046974,5.4471507,6.0232655,8.6626858,9.2569441,10.4754308,6.9840079,7.2828983,8.4536085,8.2233251,8.7818,9.3044614,6.6475017,6.8533376,8.2203892,6412.1580753,6424.298026,6468.476529,4109.4254882,4112.3726774,4143.810402,2302.7325871,2311.9253486,2324.666127,61.1183291,61.2460286,61.6672042,79.4042667,79.4876124,80.0952688,43.3127154,43.4921679,43.7318487,4020.8534365,1029.7915622,2991.0618743,10489.3299655,5173.6019642,5315.7280013
1978-03-01,6014.9034751,6002.8752958,6040.560795,3887.3842585,3884.5309918,3900.648274,2127.5192166,2118.3443039,2139.912522,5104.9525928,5095.0570902,5118.051614,3694.5860545,3691.185329,3705.315922,1410.3665383,1403.8717612,1412.735692,909.9508823,907.8182055,922.5091813,192.798204,193.3456628,195.3323517,717.1526783,714.4725428,727.1768296,57.2591091,57.1232317,57.4818461,75.0265542,74.9497538,75.2607273,39.9635332,39.7751828,40.1801594,403.9135385,403.8104847,424.8499786,220.2650276,217.6096799,219.8097414,183.6485109,186.2008049,205.0402372,337.5612872,338.6805827,349.8380238,204.1266466,201.5183789,202.295506,133.4346406,137.1622038,147.5425178,66.3522513,65.129902,75.0119548,16.138381,16.0913009,17.5142354,50.2138703,49.0386011,57.4977194,6.2926477,6.3029544,6.5711212,5.3623134,5.3047835,5.3345949,7.9461351,8.0797206,8.7438963,6.2023046,6.2329211,6.3980447,5.2357448,5.176823,5.1769607,8.6432529,8.9006607,9.4561673,6.7962756,6.6940777,7.5198361,7.724057,7.6831237,8.2285723,6.5436616,6.4227748,7.3275882,6418.8170136,6406.6857805,6465.410774,4107.6492861,4102.1406717,4120.458015,2311.1677274,2304.5451088,2344.952759,61.1041798,60.9658836,61.5247093,79.2776714,79.1484053,79.5018278,43.4132052,43.2713902,44.0301062,4043.230138,1062.388885,2980.841254,10508.64091,5182.8469,5325.794013
1978-04-01,6021.3690476,6030.6756412,6054.2138586,3885.3433486,3888.4949549,3899.119729,2136.025699,2142.1806863,2155.0941296,5106.6667174,5119.460828,5128.3115214,3690.5524368,3696.7274691,3703.6984542,1416.1142805,1422.7333589,1424.6130672,914.7023302,911.2148131,925.9023372,194.7909117,191.7674858,195.4212748,719.9114185,719.4473273,730.4810624,57.2479675,57.3330831,57.5568588,74.9003131,74.9590256,75.1638407,40.0693432,40.1821701,40.4243953,403.3057409,403.2439717,403.3767611,220.3296195,220.3659998,211.9126452,182.9761214,182.8779719,191.4641159,338.5737537,338.6355989,334.8404497,205.1705265,205.3361857,197.2298473,133.4032273,133.2994132,137.6106024,64.7319872,64.6083728,68.5363114,15.1590931,15.0298141,14.6827979,49.5728941,49.5785587,53.8535135,6.2774499,6.2674698,6.2465521,5.3664678,5.3631895,5.1547306,7.8902966,7.8655208,8.1593592,6.2177925,6.2042803,6.1290708,5.2665584,5.2622459,5.0559721,8.6093398,8.5666199,8.8086364,6.6091198,6.6209098,6.8919598,7.2203347,7.2678967,6.9883452,6.4423528,6.4469298,6.8661404,6424.6747885,6433.9196129,6457.5906197,4105.6729681,4108.8609547,4111.0323742,2319.0018204,2325.0586582,2346.5582455,61.0823835,61.1666868,61.3917249,79.1477518,79.2070498,79.2489085,43.5017612,43.6125221,44.0158028,4061.0755873,1076.4616259,2984.6139614,10518.666207,5187.4940001,5331.1722069
1978-05-01,6027.0954426,6033.0817484,6038.2647505,3882.9378533,3885.7444097,3888.6004915,2144.1575893,2147.3373387,2149.664259,5107.1299578,5118.7486793,5117.4811954,3685.8535782,3692.1968312,3692.2404844,1421.2763796,1426.5518482,1425.240711,919.9654848,914.333069,920.7835551,197.0842751,193.5475785,196.3600071,722.8812097,720.7854905,724.423548,57.2304856,57.2905746,57.3397927,74.7685523,74.8235839,74.8785804,40.1680721,40.2314263,40.2750223,403.0363092,399.4196011,398.4080771,220.7600508,215.2072229,210.6596809,182.2762584,184.2123783,187.7483962,339.8180685,337.235081,334.1609257,206.4588352,201.4956505,196.4236462,133.3592332,135.7394305,137.7372795,63.2182407,62.1845201,64.2471514,14.3012156,13.7115723,14.2360347,48.9170251,48.4729478,50.0111167,6.2679324,6.2093979,6.1896587,5.3795395,5.2477386,5.1389683,7.8350072,7.9008557,8.0323171,6.2386876,6.1810133,6.1295463,5.3042719,5.1749246,5.0511857,8.5781666,8.6884842,8.81249,6.4299519,6.3679877,6.5223501,6.765467,6.6156656,6.7598776,6.3380587,6.3012566,6.457758,6430.1317517,6432.5013495,6436.6728276,4103.6979041,4100.9516325,4099.2601724,2326.4338476,2331.549717,2337.4126552,61.0575303,61.0834916,61.1231042,79.019434,78.967597,78.9350264,43.5827865,43.6827363,43.7925813,4093.9978713,1093.9479125,3000.0499588,10530.6706989,5193.2080849,5337.462614
1978-06-01,6031.1969984,6033.8117687,6031.3422994,3879.7880803,3882.7400589,3883.5501257,2151.4089181,2151.0717098,2147.7921737,5106.1781594,5104.1280542,5092.5752651,3680.4159604,3680.4363887,3677.740202,1425.7621989,1423.6916655,1414.8350631,925.018839,929.6837145,938.7670343,199.3721198,202.3036702,205.8099237,725.6467192,727.3800443,732.9571106,57.1983229,57.2284712,57.2050492,74.6238283,74.6955279,74.7111119,40.2501555,40.242414,40.1810602,403.066475,405.9648725,393.4903275,221.5327247,225.6008279,216.7385614,181.5337503,180.3640446,176.7517661,341.0607439,344.1846493,331.1521423,207.8126999,212.9990632,205.5089635,133.248044,131.1855861,125.6431788,62.005731,61.7802232,62.3381852,13.7200248,12.6017647,11.2295979,48.2857063,49.1784585,51.1085873,6.2643763,6.304021,6.1245226,5.4014971,5.4912879,5.2859342,7.7813207,7.7361791,7.603718,6.2611674,6.3172705,6.1056192,5.3446625,5.4707229,5.292191,8.546964,8.4370381,8.1561151,6.2820859,6.2312123,6.2269364,6.4385408,5.8638651,5.1739876,6.239008,6.3328723,6.5184062,6434.2634733,6439.7766412,6424.8326269,4101.3208049,4108.3408868,4100.2886871,2332.9426684,2331.4357544,2324.5439398,61.0209018,61.0788978,60.9371593,78.8847878,79.0356003,78.8806934,43.6464237,43.6166784,43.4877458,4118.5413943,1097.8003638,3020.7410305,10543.3740212,5198.0890509,5345.2849703
1978-07-01,6032.8029037,6030.4489553,6036.0839263,3876.2704205,3872.9822404,3869.8998106,2156.5324832,2157.4667149,2166.1841157,5104.1045429,5096.5595695,5092.762944,3675.1507883,3668.3922461,3668.9611914,1428.9537546,1428.1673234,1423.8017526,928.6983608,933.8893858,943.3209823,201.1196322,204.5899944,200.9386192,727.5787286,729.2993915,742.3823631,57.142796,57.1316605,57.1850454,74.4723313,74.4246369,74.3654038,40.2920194,40.31551,40.4784078,403.4200849,400.0841931,380.5317353,222.752706,220.9997451,212.3703964,180.6673789,179.084448,168.1613389,342.0931027,343.5697309,327.1449488,209.1813318,211.5934966,203.545987,132.9117709,131.9762343,123.5989618,61.3269822,56.5144623,53.3867865,13.5713742,9.4062485,8.8244094,47.755608,47.1082138,44.5623771,6.2679631,6.2216333,5.9304118,5.4342876,5.3981612,5.2022621,7.7300783,7.6644779,7.2037898,6.28132,6.3154699,6.0359872,5.3852587,5.4534607,5.256181,8.5098089,8.4592366,7.9875213,6.1944861,5.7062038,5.3563129,6.321352,4.3955204,4.2068469,6.1593568,6.0674591,5.6627073,6436.2229886,6430.5331485,6416.6156616,4099.0231265,4093.9819856,4082.270207,2337.1998621,2336.5511629,2334.3454546,60.9639969,60.9220042,60.7901518,78.7519381,78.6714484,78.4463906,43.6675557,43.6619723,43.6207553,4138.7382431,1121.6278624,3017.1103807,10555.3539047,5203.8980694,5351.4558353
1978-08-01,6032.6730777,6036.2715672,6005.3614529,3873.6962502,3872.489862,3850.9218271,2158.9768275,2163.7817052,2154.4396258,5102.0163965,5098.1277246,5045.3356214,3671.7182273,3668.3644201,3642.4496752,1430.2981692,1429.7633044,1402.8859462,930.6566812,938.1438426,960.0258315,201.9780229,204.1254419,208.4721519,728.6786583,734.0184007,751.5536796,57.0699137,57.1050661,56.8126465,74.337316,74.3164518,73.9025425,40.2827442,40.3716607,40.197357,403.984838,418.9455352,398.2900137,224.2247429,231.2765742,222.2031376,179.760095,187.668961,176.0868761,342.7035633,348.8860039,334.3577565,210.3175946,216.1401391,207.902587,132.3859687,132.7458648,126.4551695,61.2812747,70.0595313,63.9322572,13.9071483,15.1364351,14.3005506,47.3741264,54.9230961,49.6317066,6.2763136,6.4900301,6.2197328,5.4716707,5.6357148,5.4553479,7.6862042,7.9809865,7.5556693,6.2942367,6.4050877,6.2151824,5.4177139,5.5641623,5.3995732,8.4717036,8.4956855,8.2686046,6.1779342,6.9489483,6.24364,6.4419192,6.9033593,6.419346,6.104498,6.9616184,6.1947843,6436.6579157,6455.2171023,6403.6514666,4097.9209931,4103.7664362,4073.1249647,2338.7369226,2351.4506661,2330.5265019,60.8916656,61.0684253,60.5805978,78.6402516,78.7548507,78.1668141,43.6367542,43.8731727,43.4827714,4166.8144879,1137.6860548,3029.1284331,10570.4659545,5210.8110195,5359.654935
1978-09-01,6032.8366498,6030.8062718,6024.3134515,3873.3684949,3870.1392753,3860.3738359,2159.4681549,2160.6669965,2163.9396156,5101.763784,5106.9872549,5097.0324451,3671.6284967,3672.1880274,3660.2544313,1430.1352873,1434.7992275,1436.7780138,931.0728658,923.8190169,927.2810064,201.7399982,197.9512479,200.1194046,729.3328676,725.867769,727.1616018,56.997877,56.964803,56.9034742,74.2421332,74.1573755,73.9702558,40.2356799,40.2502749,40.3112394,404.6080261,402.4178501,387.3267831,225.3789166,224.4238449,219.2948211,179.2291095,177.9940052,168.031962,342.8434763,340.4486184,326.8975925,210.9251823,210.1863259,205.66474,131.918294,130.2622925,121.2328525,61.7645498,61.9692317,60.4291906,14.4537343,14.237519,13.6300811,47.3108155,47.7317127,46.7991095,6.2852272,6.2553059,6.0409937,5.4987267,5.4810205,5.3753096,7.6636302,7.6109366,7.205575,6.2969368,6.249704,6.0269508,5.4326405,5.4138604,5.3199441,8.4451837,8.323142,7.7812585,6.2210135,6.286262,6.1181094,6.6855473,6.7098363,6.3766615,6.0917016,6.1700807,6.0467035,6437.4446759,6433.2241219,6411.6402346,4098.7474115,4094.5631202,4079.668657,2338.6972643,2338.6610017,2331.9715776,60.8205892,60.7658957,60.5620222,78.5620453,78.4576557,78.1722566,43.5751156,43.5660601,43.4414453,4175.2589569,1139.1504412,3036.1085157,10586.8991915,5218.8190982,5368.0800933
1978-10-01,6035.0263099,6035.7923656,6045.8551024,3875.6699114,3875.680176,3874.2229955,2159.3563985,2160.1121896,2171.6321069,5104.4751748,5107.7578865,5097.3952618,3674.9641701,3674.1891773,3668.3637664,1429.5110047,1433.5687092,1429.0314954,930.5511351,928.0344791,948.4598406,200.7057413,201.4909987,205.8592291,729.8453938,726.5434804,742.6006115,56.9419028,56.9506193,57.045566,74.1924916,74.1890017,74.1611081,40.1756872,40.1939065,40.4082613,404.994416,396.4299619,370.3716232,225.7534017,222.2947608,209.1663856,179.2410142,174.1352011,161.2052376,342.6429965,336.6599989,307.9630716,210.8954741,207.9730992,195.042028,131.7475224,128.6868997,112.9210436,62.3514195,59.769963,62.4085516,14.8579277,14.3216616,14.1243576,47.4934918,45.4483014,48.284194,6.2887129,6.1631881,5.7724211,5.5042697,5.4245027,5.1223718,7.6644665,7.4600148,6.9102648,6.2903536,6.1835812,5.6973664,5.427254,5.357146,5.0484479,8.4385462,8.23725,7.3232503,6.2797119,6.050789,6.1737564,6.8925936,6.6361545,6.4206416,6.1097538,5.8871483,6.1050856,6440.0207259,6432.2223275,6416.2267256,4101.4233132,4097.9749368,4083.3893811,2338.5974127,2334.2473907,2332.8373445,60.7631211,60.6911276,60.5402014,78.5141205,78.44421,78.1650106,43.5105378,43.4340965,43.4078593,4182.0642918,1140.6735996,3041.3906922,10598.2910174,5224.0629807,5374.2280367
1978-11-01,6039.53194,6028.1117525,6033.7974422,3880.2747318,3877.7036876,3863.476373,2159.2572082,2150.408065,2170.3210692,5109.4395289,5103.6643935,5079.2057021,3680.9212401,3680.5640142,3662.4035339,1428.5182887,1423.1003793,1416.8021682,930.0924112,924.447359,954.5917401,199.3534917,197.1396734,201.0728391,730.7389195,727.3076857,753.518901,56.9043453,56.7997038,56.853277,74.1819951,74.1380145,73.8660017,40.1142025,39.9515258,40.3214812,405.59792,407.4478514,372.7822643,225.4205567,225.4433141,207.5462261,180.1773633,182.0045373,165.2360382,342.5131154,339.4472299,311.3026344,210.3256805,206.6709973,192.0392637,132.1874349,132.7762326,119.2633707,63.0848046,68.0006215,61.4796299,15.0948763,18.7723169,15.5069624,47.9899284,49.2283046,45.9726675,6.2930915,6.3311954,5.8187408,5.4904356,5.4944001,5.098135,7.7017483,7.8032736,7.0748019,6.2823934,6.2362717,5.7750144,5.4050973,5.3166582,4.9822834,8.4697219,8.5338536,7.7642111,6.3518175,6.8518071,6.0507196,7.0389327,8.69443,7.1599301,6.162598,6.339475,5.7502379,6445.1298601,6435.5596039,6406.5797065,4105.6952886,4103.1470017,4071.0225991,2339.4345715,2332.4126023,2335.5571074,60.7258805,60.638869,60.3658068,78.4915215,78.4482767,77.8340886,43.4614977,43.3329115,43.3913319,4206.3484455,1159.3625338,3046.9859117,10612.928152,5230.3851329,5382.5430191
